Day,Tea Name,Biscuit Name,Reviewer,Tea Score (out of 10),Biscuit Score (out of 10),Combination Score (out of 10)
1,Royal Blend,Chocolossus,Sofia,10,4,1
1,Royal Blend,Chocolossus,Kurtis,9,8,2
1,Royal Blend,Chocolossus,Skye,10,6,7
1,Royal Blend,Chocolossus,Laura,9,9.5,7
2,Black Tea with Vanilla,Piccadilly Chocolate Pearl Biscuits,Sofia,6,4,7
2,Black Tea with Vanilla,Piccadilly Chocolate Pearl Biscuits,Kurtis,4,4,4
2,Black Tea with Vanilla,Piccadilly Chocolate Pearl Biscuits,Skye,9,9,10
2,Black Tea with Vanilla,Piccadilly Chocolate Pearl Biscuits,Laura,10,9,10
3,Green Tea with Mandarin ,Piccadilly Stem Ginger Biscuits ,Sofia,7,7,10
3,Green Tea with Mandarin ,Piccadilly Stem Ginger Biscuits ,Kurtis,4,8,7
3,Green Tea with Mandarin ,Piccadilly Stem Ginger Biscuits ,Skye,2,7,5
3,Green Tea with Mandarin ,Piccadilly Stem Ginger Biscuits ,Laura,6,7.5,5
4,Christmas Black Tea,Christmas Biscuit,Sofia,8,6,5
4,Christmas Black Tea,Christmas Biscuit,Kurtis,6,6,7
4,Christmas Black Tea,Christmas Biscuit,Skye,9,10,10
4,Christmas Black Tea,Christmas Biscuit,Laura,8,8,10
5,Victoria Grey Tea,Victoria Grey Tea Biscuit,Sofia,1,2,2
5,Victoria Grey Tea,Victoria Grey Tea Biscuit,Kurtis,8,6,7
5,Victoria Grey Tea,Victoria Grey Tea Biscuit,Skye,7,6,10
5,Victoria Grey Tea,Victoria Grey Tea Biscuit,Laura,9,9,10
6,Jade Oolong Tea,Piccadilly Chocolate Pearl Biscuits,Sofia,7,4,5
6,Jade Oolong Tea,Piccadilly Chocolate Pearl Biscuits,Kurtis,5,4,2
6,Jade Oolong Tea,Piccadilly Chocolate Pearl Biscuits,Skye,3,9,2
6,Jade Oolong Tea,Piccadilly Chocolate Pearl Biscuits,Laura,6,9,1
7,Green Tea with Elderflower ,Piccadilly Lemon Curd,Sofia,2,3,3
7,Green Tea with Elderflower ,Piccadilly Lemon Curd,Kurtis,5,6,7
7,Green Tea with Elderflower ,Piccadilly Lemon Curd,Skye,7,8,7
7,Green Tea with Elderflower ,Piccadilly Lemon Curd,Laura,3,2,2
8,Chai Tea,Toffolossus,Sofia,9,8,10
8,Chai Tea,Toffolossus,Kurtis,7,9,10
8,Chai Tea,Toffolossus,Skye,8,10,8
